note_id,fo_word,fo_sentence,na_word,na_sentence,na_note,fo_sentence_audio,fo_word_audio,tags
84887000001,"<span style=""color:#6BC8A4""><b>ab</b></span>","<b><i><span style=""color:#6BC8A4"">Ab</span></i></b> morgen muss ich wieder arbeiten. [sound:gtts-s1-4127ac87-e5dfe198-3af25822-2b7ce5a9-8821f36f.mp3]","de la, din, începând cu",Trebuie să mă întorc la muncă mâine.,,,[sound:gtts-wort-9cff2135-4fa0485d-4ea334e3-ad5e6700-9eb1f3df.mp3],PREP
84887000002,"<span style=""color:#E05C8A""><b>aber</b></span>","Heute kann ich nicht kommen, <b><i><span style=""color:#E05C8A"">aber</span></i></b> morgen habe ich Zeit. [sound:gtts-s1-7b385ff3-08d0976f-03d3e58d-a39cc860-83c78ebf.mp3]<br><hr class=""sent-sep""><br>Wir haben nur eine kleine Wohnung, sind <b><i><span style=""color:#E05C8A"">aber</span></i></b> damit zufrieden. [sound:gtts-s2-69d5a005-c01370c0-6b269b73-7a45603c-04b3ca34.mp3]<br><hr class=""sent-sep""><br>Es war sehr schön. Jetzt muss ich <b><i><span style=""color:#E05C8A"">aber</span></i></b> gehen. [sound:gtts-s3-4f51f874-503c14c5-227389bf-398a62e8-5b3b0610.mp3]<br><hr class=""sent-sep""><br>Das ist <b><i><span style=""color:#E05C8A"">aber</span></i></b> nett von dir. [sound:gtts-s4-0198b72f-bb29d7ad-d54229a2-3988fbcb-3818cf14.mp3]",dar,"Nu pot veni azi, dar am timp mâine.<br><hr class=""sent-sep""><br>Avem doar un apartament mic, dar suntem multumiti de el.<br><hr class=""sent-sep""><br>A fost foarte frumos. Dar acum trebuie să plec.<br><hr class=""sent-sep""><br>Dar asta e drăguț din partea ta.",,,[sound:gtts-wort-f4fe770d-8296099e-7d0d22c3-4233189a-2ea6d643.mp3],CONJ
84887000003,"<b>anbieten</b>, <span style=""color:#0DA6FF"">bot an</span>, hat <span style=""color:#FFFB3D"">angeboten</span>","Er hat mir eine Stelle als Verkäuferin <b><i><span style=""color:#0DA6FF"">angeboten</span></i></b>. [sound:gtts-s1-ce394deb-a85b4779-bf3cdd97-47b39420-b69cfbfd.mp3]<br><hr class=""sent-sep""><br>Darf ich Ihnen ein Stück Kuchen <b><i><span style=""color:#0DA6FF"">anbieten</span></i></b>? [sound:gtts-s2-75a05418-45092cf7-0da9fe70-b9828109-ec581f77.mp3]<br><hr class=""sent-sep""><br>Darf ich dir ein Stück Kuchen <b><i><span style=""color:#0DA6FF"">anbieten</span></i></b>? [sound:gtts-s3-23d2b2ba-da77ca14-c033f03e-3998844d-fc69162e.mp3]",oferi,"Mi-a oferit un loc de muncă ca vânzătoare.<br><hr class=""sent-sep""><br>Pot să-ți ofer o bucată de tort?<br><hr class=""sent-sep""><br>Pot să-ți ofer o bucată de tort?",,,[sound:gtts-wort-041d4777-80a2de7a-b2212265-1d3c97bd-0826aefa.mp3],VERB
84887000004,"<span style=""color:#9FF527""><b>das</b></span> Angebot, -e","Heute sind Bananen im <b><i><span style=""color:#9FF527"">Angebot</span></i></b>. [sound:gtts-s1-349cd4af-2d778c5b-a6c19b56-293b5e6f-e9f675eb.mp3]<br><hr class=""sent-sep""><br>Stellenangebote finden Sie in der Zeitung oder im Internet. [sound:gtts-s2-fb210c92-fe8b45ee-6d8504b4-982107b8-84ab5b32.mp3]",Oferi,"Bananele sunt la vânzare astăzi.<br><hr class=""sent-sep""><br>Puteți găsi oferte de muncă în ziar sau pe internet.",,,[sound:gtts-wort-11f78b9f-5b1b7d51-c2d6a67e-e38c1c16-8d8b5a81.mp3],NOUN
84887000005,"<span style=""color:#C478B0""><b>anderen</b></span>","Willst du diesen Mantel? - Nein, ich möchte den <b><i><span style=""color:#C478B0"">anderen</span></i></b>. [sound:gtts-s1-9a03bcb2-bd2baf5b-a53dc3e9-cb59d6b1-853a4317.mp3]<br><hr class=""sent-sep""><br>Die <b><i><span style=""color:#C478B0"">anderen</span></i></b> sind schon nach Hause gegangen. [sound:gtts-s2-6483d3fc-989b96f7-40c2d51c-af6d72d9-6ba4a5d5.mp3]<br><hr class=""sent-sep""><br>Bitte nicht alle auf einmal! Einer nach dem <b><i><span style=""color:#C478B0"">anderen</span></i></b>. [sound:gtts-s3-f7b410e5-7a775a6d-439db764-e950a7e2-3fce4af1.mp3]",alţii,"Vrei haina asta? - Nu, îl vreau pe celălalt.<br><hr class=""sent-sep""><br>Ceilalți au plecat deja acasă.<br><hr class=""sent-sep""><br>Vă rog, nu toate deodată! Unul câte unul.",,,[sound:gtts-wort-b4f639c3-9a6ee280-69847820-3f3fd032-df888eb6.mp3],PRON
84887000006,"<b>abgeben</b>, <span style=""color:#0DA6FF"">gab ab</span>, hat <span style=""color:#FFFB3D"">abgegeben</span>","Ich muss meinen Schlüssel an der Rezeption <b><i><span style=""color:#0DA6FF"">abgeben</span></i></b>. [sound:gtts-s1-8d3a658f-5a6c9a48-014dde4e-8c39ac6a-7eab7af1.mp3]",preda,Trebuie să-mi las cheia la recepție.,,,[sound:gtts-wort-c816019c-aa3f35c0-c2e62131-2287c81e-36140d7c.mp3],VERB
84887000007,"<span style=""color:#E88D1A""><b>anders</b></span>","<b><i><span style=""color:#E88D1A"">Anders</span></i></b> geht das leider nicht. [sound:gtts-s1-dc944feb-c9bfa597-a7df326e-7b882c24-95e4024a.mp3]<br><hr class=""sent-sep""><br>Oliver ist <b><i><span style=""color:#E88D1A"">anders</span></i></b> als seine Freunde. [sound:gtts-s2-b07bbdc4-97c10f6d-bdb94461-97f883f0-310246fe.mp3]",diferit,"Din pacate nu functioneaza altfel.<br><hr class=""sent-sep""><br>Oliver este diferit de prietenii lui.",,,[sound:gtts-wort-5cc5face-c81eb918-af2b4622-cbf10adf-624183c6.mp3],ADJ
84887000008,"<b>ändern</b>, <span style=""color:#0DA6FF"">änderte</span>, hat <span style=""color:#FFFB3D"">geändert</span>","Wie kann ich mein Passwort <b><i><span style=""color:#0DA6FF"">ändern</span></i></b>? [sound:gtts-s1-33300e53-d6f7da70-36df97f1-19d2e524-3d3337f1.mp3]<br><hr class=""sent-sep""><br>Das Wetter hat sich <b><i><span style=""color:#0DA6FF"">geändert</span></i></b>. [sound:gtts-s2-ad74b3a7-2605f4b5-6bedea4c-9094d128-568be164.mp3]",schimba,"Cum îmi pot schimba parola?<br><hr class=""sent-sep""><br>Vremea s-a schimbat.",,,[sound:gtts-wort-daa73311-5bede195-86fc2780-12f04c22-f09e1871.mp3],VERB
84887000009,"<b>abholen</b>, <span style=""color:#0DA6FF"">holte ab</span>, hat <span style=""color:#FFFB3D"">abgeholt</span>","Wann kann ich die Sachen bei dir <b><i><span style=""color:#0DA6FF"">abholen</span></i></b>? [sound:gtts-s1-74bcc7f8-7ab9da53-1ce2a5c6-872db538-6f1cd963.mp3]<br><hr class=""sent-sep""><br>Wir müssen noch meinen Bruder <b><i><span style=""color:#0DA6FF"">abholen</span></i></b>. [sound:gtts-s2-7b91e0f2-15a47ad0-21c072c1-7d3c6448-2f714c5d.mp3]",ridica,"Când pot ridica lucrurile de la tine?<br><hr class=""sent-sep""><br>Mai trebuie să-mi luăm fratele.",,,[sound:gtts-wort-cf2e9c96-4cc435a9-7144fc88-f1a293f2-068d8fbb.mp3],VERB
84887000010,"<b>abschließen</b>, <span style=""color:#0DA6FF"">schloß ab</span>, hat <span style=""color:#FFFB3D"">abgeschlossen</span>","Hast du die Tür <b><i><span style=""color:#0DA6FF"">abgeschlossen</span></i></b>? [sound:gtts-s1-33e94c60-060bdebb-6cd4ca6f-398c64d4-127943bb.mp3]<br><hr class=""sent-sep""><br>Ich <b><i><span style=""color:#0DA6FF"">schließe</span></i></b> dieses Jahr meine Ausbildung ab. [sound:gtts-s2-49c514fb-2521f403-1b2559b3-5f5ac0cb-14c3cdec.mp3]<br><hr class=""sent-sep""><br>Ich <b><i><span style=""color:#0DA6FF"">schließe</span></i></b> dieses Jahr mein Studium ab. [sound:gtts-s3-f239c2ea-a0489118-1f69bd76-49473dfc-516d805e.mp3]",complet,"Ai încuiat ușa?<br><hr class=""sent-sep""><br>Îmi termin pregătirea anul acesta.<br><hr class=""sent-sep""><br>Îmi termin studiile anul acesta.",,,[sound:gtts-wort-8bb33163-c23f1303-14b80fbd-1623b295-61f09f9a.mp3],VERB
